n_payments,average_payment_amount,mpp,Success,FailNoPath,FailNoBalance,FailOfflineNode,FailTimeoutExpired,Time,Attempts,RouteLength
2000,100,1,0.14,0.35,0.51,0.00,0.00,3738.27,10.95,3.74
2000,100,0,0.14,0.38,0.48,0.00,0.00,3938.76,11.41,3.76
2000,1000,1,0.13,0.33,0.54,0.00,0.00,3590.46,11.12,3.67
2000,1000,0,0.13,0.42,0.45,0.00,0.00,3708.75,11.50,3.70
2000,10000,0,0.05,0.80,0.15,0.00,0.00,3998.62,12.75,3.50
2000,10000,1,0.05,0.67,0.28,0.00,0.00,4025.46,12.81,3.50
2000,2000,0,0.11,0.53,0.36,0.00,0.00,3849.51,11.96,3.62
2000,3000,0,0.10,0.59,0.32,0.00,0.00,4100.57,12.87,3.59
2000,2000,1,0.11,0.39,0.50,0.00,0.00,3875.43,11.96,3.61
2000,3000,1,0.10,0.48,0.43,0.00,0.00,3801.45,12.15,3.56
2000,500,0,0.13,0.38,0.49,0.00,0.00,3805.88,11.42,3.65
2000,500,1,0.14,0.34,0.53,0.00,0.00,3934.46,12.01,3.65
2000,5000,0,0.08,0.67,0.25,0.00,0.00,4845.69,15.10,3.73
2000,4000,0,0.09,0.62,0.29,0.00,0.00,5124.83,16.13,3.70
2000,5000,1,0.08,0.55,0.37,0.00,0.00,4684.65,15.59,3.73
2000,4000,1,0.09,0.52,0.39,0.00,0.00,4952.34,16.22,3.65
3000,100,1,0.16,0.33,0.51,0.00,0.00,3679.81,10.75,3.79
3000,100,0,0.16,0.36,0.48,0.00,0.00,3798.99,10.89,3.79
3000,1000,1,0.14,0.31,0.55,0.00,0.00,3465.34,10.62,3.64
3000,1000,0,0.14,0.40,0.46,0.00,0.00,3536.08,10.75,3.66
3000,10000,0,0.05,0.80,0.15,0.00,0.00,4133.29,13.20,3.40
3000,10000,1,0.05,0.66,0.28,0.00,0.00,4220.75,13.86,3.37
3000,2000,0,0.12,0.52,0.36,0.00,0.00,3908.39,12.19,3.63
3000,3000,0,0.10,0.58,0.32,0.00,0.00,4101.74,13.07,3.51
3000,2000,1,0.12,0.38,0.50,0.00,0.00,3878.75,12.01,3.60
3000,3000,1,0.10,0.46,0.43,0.00,0.00,3752.95,12.03,3.51
3000,500,0,0.15,0.36,0.49,0.00,0.00,3823.62,11.29,3.68
3000,500,1,0.15,0.32,0.53,0.00,0.00,3804.82,11.38,3.68
3000,5000,0,0.08,0.67,0.25,0.00,0.00,4782.34,14.67,3.60
3000,4000,0,0.09,0.62,0.29,0.00,0.00,4927.14,15.12,3.62
3000,5000,1,0.09,0.54,0.37,0.00,0.00,4760.07,15.35,3.66
3000,4000,1,0.09,0.51,0.40,0.00,0.00,4770.50,15.22,3.58
4000,100,1,0.18,0.32,0.50,0.00,0.00,3400.71,9.84,3.77
4000,100,0,0.17,0.37,0.46,0.00,0.00,3502.14,9.91,3.76
4000,1000,1,0.15,0.30,0.55,0.00,0.00,3548.61,10.83,3.69
4000,1000,0,0.15,0.40,0.45,0.00,0.00,3590.88,10.83,3.69
4000,10000,0,0.05,0.80,0.15,0.00,0.00,4304.44,13.88,3.45
4000,10000,1,0.05,0.67,0.28,0.00,0.00,4548.73,14.67,3.46
4000,2000,0,0.13,0.52,0.35,0.00,0.00,3626.81,11.16,3.62
4000,3000,0,0.10,0.58,0.31,0.00,0.00,4114.15,12.98,3.56
4000,2000,1,0.13,0.37,0.50,0.00,0.00,3773.07,11.66,3.65
4000,3000,1,0.11,0.46,0.43,0.00,0.00,3789.86,12.06,3.54
4000,500,0,0.16,0.37,0.47,0.00,0.00,3703.09,10.87,3.71
4000,500,1,0.17,0.31,0.52,0.00,0.00,3620.76,10.83,3.69
4000,5000,0,0.08,0.67,0.25,0.00,0.00,4519.14,13.80,3.59
4000,4000,0,0.09,0.62,0.29,0.00,0.00,4732.17,14.53,3.64
4000,5000,1,0.09,0.54,0.37,0.00,0.00,4179.57,13.37,3.62
4000,4000,1,0.10,0.50,0.40,0.00,0.00,4411.33,14.01,3.60
10000,100,1,0.26,0.29,0.45,0.00,0.00,2816.37,7.91,3.82
10000,100,0,0.24,0.36,0.40,0.00,0.00,2873.40,7.78,3.81
10000,1000,1,0.21,0.29,0.50,0.00,0.00,3079.86,9.18,3.73
10000,1000,0,0.19,0.41,0.40,0.00,0.00,3092.89,8.89,3.72
10000,10000,0,0.05,0.80,0.15,0.00,0.00,3846.57,12.14,3.39
10000,10000,1,0.06,0.67,0.27,0.00,0.00,4464.66,14.55,3.46
10000,2000,0,0.16,0.53,0.31,0.00,0.00,3332.53,9.81,3.66
10000,3000,0,0.13,0.59,0.28,0.00,0.00,3774.82,11.26,3.66
10000,2000,1,0.17,0.36,0.46,0.00,0.00,3267.13,9.90,3.68
10000,3000,1,0.15,0.45,0.41,0.00,0.00,3513.05,10.88,3.67
10000,500,0,0.22,0.36,0.42,0.00,0.00,3006.85,8.42,3.75
10000,500,1,0.23,0.29,0.48,0.00,0.00,2915.97,8.46,3.76
10000,5000,0,0.10,0.67,0.23,0.00,0.00,4763.22,14.11,3.62
10000,4000,0,0.11,0.62,0.27,0.00,0.00,4251.74,12.77,3.64
10000,5000,1,0.11,0.54,0.36,0.00,0.00,4394.47,13.82,3.69
10000,4000,1,0.12,0.50,0.38,0.00,0.00,4025.25,12.54,3.65
75000,100,1,0.45,0.25,0.30,0.00,0.00,2057.39,5.55,3.84
75000,100,0,0.41,0.36,0.23,0.00,0.00,2215.94,5.47,3.83
75000,1000,1,0.35,0.26,0.40,0.00,0.00,2487.39,7.20,3.80
75000,1000,0,0.28,0.41,0.31,0.00,0.00,2788.52,7.50,3.77
75000,10000,0,0.06,0.79,0.14,0.00,0.00,3961.55,12.02,3.41
75000,10000,1,0.09,0.67,0.25,0.00,0.00,4228.18,13.71,3.57
75000,2000,0,0.20,0.52,0.28,0.00,0.00,3226.52,8.85,3.71
75000,3000,0,0.16,0.58,0.25,0.00,0.00,3353.41,9.44,3.66
75000,2000,1,0.27,0.34,0.39,0.00,0.00,2754.41,8.21,3.75
75000,3000,1,0.22,0.43,0.35,0.00,0.00,3057.01,9.26,3.74
75000,500,0,0.34,0.36,0.30,0.00,0.00,2627.57,6.81,3.83
75000,500,1,0.39,0.25,0.35,0.00,0.00,2388.38,6.68,3.83
75000,5000,0,0.11,0.67,0.22,0.00,0.00,3942.52,11.43,3.58
75000,4000,0,0.13,0.62,0.25,0.00,0.00,3835.94,11.01,3.66
75000,5000,1,0.16,0.52,0.32,0.00,0.00,3526.23,10.92,3.70
75000,4000,1,0.19,0.48,0.34,0.00,0.00,3210.79,9.82,3.71
50000,100,1,0.42,0.25,0.32,0.00,0.00,2073.56,5.59,3.84
50000,100,0,0.39,0.36,0.25,0.00,0.00,2279.55,5.71,3.83
50000,1000,1,0.32,0.26,0.42,0.00,0.00,2544.56,7.34,3.79
50000,1000,0,0.27,0.41,0.32,0.00,0.00,2691.31,7.24,3.75
50000,10000,0,0.06,0.79,0.14,0.00,0.00,3872.98,11.80,3.38
50000,10000,1,0.08,0.67,0.25,0.00,0.00,4084.89,13.25,3.52
50000,2000,0,0.20,0.52,0.28,0.00,0.00,3127.71,8.65,3.70
50000,3000,0,0.16,0.58,0.26,0.00,0.00,3323.57,9.38,3.66
50000,2000,1,0.25,0.34,0.40,0.00,0.00,2780.96,8.22,3.75
50000,3000,1,0.21,0.43,0.36,0.00,0.00,3196.26,9.63,3.72
50000,500,0,0.32,0.36,0.31,0.00,0.00,2708.23,7.11,3.83
50000,500,1,0.37,0.25,0.38,0.00,0.00,2404.53,6.73,3.82
50000,5000,0,0.11,0.66,0.22,0.00,0.00,3909.28,11.32,3.58
50000,4000,0,0.13,0.62,0.25,0.00,0.00,3805.11,10.89,3.64
50000,5000,1,0.15,0.52,0.32,0.00,0.00,3655.67,11.27,3.69
50000,4000,1,0.17,0.48,0.35,0.00,0.00,3378.67,10.33,3.70
25000,100,1,0.36,0.26,0.37,0.00,0.00,2332.34,6.42,3.85
25000,100,0,0.33,0.36,0.30,0.00,0.00,2473.63,6.45,3.83
25000,1000,1,0.28,0.27,0.45,0.00,0.00,2681.15,7.79,3.76
25000,1000,0,0.24,0.41,0.34,0.00,0.00,2722.82,7.52,3.74
25000,10000,0,0.06,0.79,0.15,0.00,0.00,3698.20,11.47,3.39
25000,10000,1,0.07,0.67,0.26,0.00,0.00,4274.64,14.15,3.49
25000,2000,0,0.19,0.52,0.29,0.00,0.00,3049.30,8.61,3.69
25000,3000,0,0.15,0.58,0.26,0.00,0.00,3387.34,9.80,3.66
25000,2000,1,0.23,0.34,0.43,0.00,0.00,3031.82,9.02,3.73
25000,3000,1,0.19,0.43,0.38,0.00,0.00,3280.69,9.93,3.72
25000,500,0,0.28,0.36,0.35,0.00,0.00,2680.78,7.24,3.79
25000,500,1,0.32,0.26,0.42,0.00,0.00,2607.56,7.46,3.81
25000,5000,0,0.10,0.67,0.23,0.00,0.00,4138.71,12.19,3.58
25000,4000,0,0.13,0.62,0.25,0.00,0.00,3800.56,11.11,3.63
25000,5000,1,0.14,0.52,0.34,0.00,0.00,4098.04,12.83,3.70
25000,4000,1,0.16,0.48,0.36,0.00,0.00,3676.79,11.42,3.69
1000,100,1,0.12,0.35,0.53,0.00,0.00,4106.59,12.24,3.72
1000,100,0,0.12,0.37,0.51,0.00,0.00,4099.63,12.22,3.72
1000,1000,1,0.12,0.33,0.55,0.00,0.00,3516.85,11.14,3.57
1000,1000,0,0.12,0.41,0.47,0.00,0.00,3488.11,11.17,3.56
1000,10000,0,0.05,0.79,0.15,0.00,0.00,6023.05,18.96,3.62
1000,10000,1,0.05,0.66,0.29,0.00,0.00,6112.88,19.39,3.61
1000,2000,0,0.10,0.53,0.37,0.00,0.00,4524.76,14.11,3.64
1000,3000,0,0.09,0.58,0.33,0.00,0.00,5313.67,16.86,3.69
1000,2000,1,0.10,0.40,0.50,0.00,0.00,4408.70,13.53,3.64
1000,3000,1,0.09,0.47,0.44,0.00,0.00,4354.14,13.68,3.64
1000,500,0,0.12,0.37,0.51,0.00,0.00,4342.93,13.07,3.73
1000,500,1,0.12,0.34,0.54,0.00,0.00,4341.49,13.07,3.73
1000,5000,0,0.08,0.66,0.27,0.00,0.00,5919.80,18.49,3.81
1000,4000,0,0.08,0.61,0.31,0.00,0.00,6907.25,21.71,3.84
1000,5000,1,0.08,0.54,0.37,0.00,0.00,5357.98,18.22,3.85
1000,4000,1,0.09,0.52,0.39,0.00,0.00,6023.36,20.24,3.86
5000,100,1,0.20,0.31,0.49,0.00,0.00,3138.93,8.98,3.80
5000,100,0,0.19,0.36,0.45,0.00,0.00,3192.66,8.89,3.78
5000,1000,1,0.16,0.30,0.54,0.00,0.00,3283.56,9.93,3.69
5000,1000,0,0.16,0.40,0.44,0.00,0.00,3380.86,10.09,3.72
5000,10000,0,0.05,0.80,0.15,0.00,0.00,4134.53,13.19,3.44
5000,10000,1,0.05,0.67,0.28,0.00,0.00,4769.40,15.18,3.47
5000,2000,0,0.13,0.52,0.34,0.00,0.00,3549.19,10.67,3.62
5000,3000,0,0.11,0.58,0.31,0.00,0.00,3966.05,12.18,3.61
5000,2000,1,0.14,0.37,0.49,0.00,0.00,3506.11,10.67,3.65
5000,3000,1,0.12,0.46,0.43,0.00,0.00,3671.91,11.56,3.58
5000,500,0,0.18,0.36,0.46,0.00,0.00,3441.00,9.92,3.73
5000,500,1,0.18,0.30,0.52,0.00,0.00,3380.68,9.98,3.72
5000,5000,0,0.09,0.67,0.25,0.00,0.00,4724.11,14.20,3.59
5000,4000,0,0.11,0.58,0.31,0.00,0.00,3966.05,12.18,3.61
5000,5000,1,0.10,0.50,0.39,0.00,0.00,4310.57,13.75,3.62
5000,4000,1,0.10,0.50,0.39,0.00,0.00,4310.57,13.75,3.62
